country_name,iso3c,em_dm,year,gdp_usd_current_prices,gdp_ppp_current_prices,gdp_pc_usd_current_prices,gdp_pc_ppp_current_prices,population,govt_expenditure_pct_gdp,debt_pct_gdp,territorial_co2,trade_co2,consumption_co2,cumulative_co2,debt_usd,govt_expenditure_usd,territorial_co2_per_capita,trade_co2_per_capita,consumption_co2_per_capita,territorial_co2_per_gdp,trade_co2_per_gdp,consumption_co2_per_gdp,territorial_co2_per_debt,trade_co2_per_debt,consumption_co2_per_debt,territorial_co2_per_govt_expenditure,trade_co2_per_govt_expenditure,consumption_co2_govt_expenditure,trade_pct_of_consumption_co2,cumulative_co2_per_capita
Dominican Republic,DOM,Emerging Markets,1992,11.605,31.031000000000002,1573.6899999999998,4207.79,7.375,NA,NA,10.418,0.403,10.821,185.986,NA,NA,1.4126101694915254,0.05464406779661017,1.4672542372881356,0.33572878734169054,0.012987012987012986,0.34871580032870353,NA,NA,NA,NA,NA,NA,0.03724239903890583,25.2184406779661
Dominican Republic,DOM,Emerging Markets,1993,13.081,34.106,1741.6699999999998,4541.01,7.511,NA,NA,11.209,0.21,11.419,197.195,NA,NA,1.4923445613100785,0.027958993476234855,1.5203035547863135,0.32865185011434933,0.0061572743798745085,0.3348091244942239,NA,NA,NA,NA,NA,NA,0.018390401961642874,26.25416056450539
Dominican Republic,DOM,Emerging Markets,1994,14.645,35.74,1916.44,4677.03,7.6419999999999995,NA,NA,11.796,0.288,12.085,208.992,NA,NA,1.5435749803716305,0.03768646951059932,1.581392305679142,0.33005036373810853,0.008058198097369892,0.3381365416899832,NA,NA,NA,NA,NA,NA,0.02383119569714522,27.347814708191574
Dominican Republic,DOM,Emerging Markets,1995,16.637000000000004,38.564,2141.06,4962.820000000001,7.771000000000001,NA,NA,15.107,-0.217,14.89,224.099,NA,NA,1.944022648307811,-0.02792433406254021,1.9160983142452708,0.391738408878747,-0.005627009646302251,0.3861113992324448,NA,NA,NA,NA,NA,NA,-0.014573539288112827,28.83785870544331
Dominican Republic,DOM,Emerging Markets,1996,18.241999999999997,41.618,2309.92,5270.02,7.896999999999999,NA,NA,16.484,-0.152,16.332,240.583,NA,NA,2.0873749525136134,-0.01924781562618716,2.068127136887426,0.39607861982795906,-0.003652265846508722,0.3924263539814503,NA,NA,NA,NA,NA,NA,-0.009306882194464853,30.465113334177538
Dominican Republic,DOM,Emerging Markets,1997,20.017000000000003,46.097,2495.03,5745.67,8.023,13.589,13.847999999999999,17.266,0.381,17.646,257.849,277.195416,272.01101300000005,2.1520628193942413,0.04748847064689019,2.1994266483858906,0.37455799726663336,0.008265179946634272,0.382801483827581,0.06228818733423787,0.001374481603981503,0.06365906137495433,0.06347537112403605,0.0014006785820837332,0.06487237338438204,0.021591295477728662,32.13872616228343
Dominican Republic,DOM,Emerging Markets,1998,21.672,49.746,2658.54,6102.360000000001,8.152000000000001,12.995000000000001,13.248999999999999,17.788,1.654,19.442,275.637,287.132328,281.62764000000004,2.182041216879293,0.20289499509322861,2.384936211972522,0.3575764885618944,0.033248904434527396,0.3908253929964218,0.061950530349198445,0.005760410231480448,0.06771094058067889,0.06316141412824394,0.0058730030901796414,0.06903441721842359,0.08507355210369304,33.81219332679097
Dominican Republic,DOM,Emerging Markets,1999,22.137000000000004,53.443,2674.8300000000004,6457.72,8.276,13.825000000000001,15.977,17.821,2.716,20.537,293.458,353.6828490000001,306.0440250000001,2.153334944417593,0.32817786370227164,2.4815128081198647,0.33345807682951933,0.05082050034616321,0.3842785771756825,0.05038694991964396,0.007679196228143931,0.058066146147787885,0.05823018436644857,0.00887454019074543,0.06710472455719399,0.13224911135998443,35.45891735137748
Dominican Republic,DOM,Emerging Markets,2000,24.306,57.202000000000005,2894.3,6811.55,8.398,14.537999999999998,16.707,18.992,4.246,23.238,312.45,406.08034200000003,353.36062799999996,2.261490831150274,0.5055965706120505,2.7670874017623244,0.3320163630642285,0.07422817384007552,0.406244536904304,0.04676907014622244,0.01045605896381953,0.05722512911004197,0.053746791507287006,0.012016052903324591,0.06576284441061159,0.1827179619588605,37.20528697308883
Dominican Republic,DOM,Emerging Markets,2001,25.602,59.929,3007.38,7039.75,8.513,15.732999999999999,20.351000000000003,19.145,4.028,23.172,331.594,521.0263020000001,402.79626599999995,2.2489134265241395,0.473158698461177,2.721954657582521,0.3194613626124247,0.06721286856113066,0.3866575447613009,0.03674478606264295,0.0077308957043784685,0.04447376247811765,0.047530232070224804,0.01000009270195171,0.057527842127513676,0.17383048506818571,38.951485962645364
