Operation Type,Counterparty,Currency,Trade Date,Settlement Date,Maturity Date,Term (days),Amount,Interest Rate,isSmallValue,Last Updated
U.S. Dollar Liquidity Swap,European Central Bank,USD,12/1/2021,12/2/2021,12/9/2021,7,216500000.00,0.33,,12/2/2021 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,11/24/2021,11/26/2021,12/2/2021,6,217500000.00,0.33,,11/26/2021 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,11/17/2021,11/18/2021,11/26/2021,8,216500000.00,0.33,,11/18/2021 16:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,11/16/2021,11/18/2021,11/26/2021,8,1000000.00,0.33,,11/18/2021 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,11/10/2021,11/12/2021,11/18/2021,6,215000000.00,0.33,,11/12/2021 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,11/3/2021,11/4/2021,11/12/2021,8,228000000.00,0.32,,11/4/2021 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,10/27/2021,10/28/2021,11/4/2021,7,232000000.00,0.33,,10/28/2021 16:00
Non-U.S. Dollar Liquidity Swap,Bank of Japan,JPY,10/21/2021,10/22/2021,10/25/2021,3,51000.00,0.219,Y,10/28/2021 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,10/20/2021,10/21/2021,10/28/2021,7,222000000.00,0.32,,10/21/2021 16:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,10/19/2021,10/21/2021,10/28/2021,7,1000000.00,0.33,,10/21/2021 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,10/13/2021,10/14/2021,10/21/2021,7,236000000.00,0.33,,10/14/2021 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,10/6/2021,10/7/2021,10/14/2021,7,217000000.00,0.33,,10/7/2021 17:00
U.S. Dollar Liquidity Swap,Bank of Japan,USD,10/5/2021,10/7/2021,10/14/2021,7,1000000.00,0.33,,10/7/2021 17:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,9/29/2021,9/30/2021,10/7/2021,7,227500000.00,0.33,,9/30/2021 16:00
U.S. Dollar Liquidity Swap,European Central Bank,USD,9/29/2021,9/29/2021,9/30/2021,1,51000.47,0.33,Y,9/30/2021 16:00
